file,binary,rep,instructions,task_clock_ms,rc
a16ptr.a8,prefix,1,14388150,14.75,0
a16ptr.a8,postfix,1,14422489,14.78,0
a16regpress.a16,prefix,1,24241274,21.41,0
a16regpress.a16,postfix,1,24276367,23.44,0
a16regpress.a8,prefix,1,24211767,19.49,0
a16regpress.a8,postfix,1,24303435,19.65,0
a16ret.a16,prefix,1,21840208,17.99,0
a16ret.a16,postfix,1,21744506,17.16,0
a16ret.a8,prefix,1,21655284,18.61,0
a16ret.a8,postfix,1,21663764,18.13,0
a16s32.a16,prefix,1,91786042,37.13,0
a16s32.a16,postfix,1,93274453,39.02,0
a16s32.a8,prefix,1,91828834,40.81,0
a16s32.a8,postfix,1,93472231,38.84,0
a16scavnz.a16,prefix,1,31530522,20.76,0
a16scavnz.a16,postfix,1,32000898,23.30,0
a16scavnz.a8,prefix,1,31513743,22.44,0
a16scavnz.a8,postfix,1,31922277,21.40,0
a16scmp.a16,prefix,1,20408512,17.73,0
a16scmp.a16,postfix,1,20509474,17.62,0
a16scmp.a8,prefix,1,20390059,18.73,0
a16scmp.a8,postfix,1,20464183,17.64,0
a16shift.a16,prefix,1,15300321,15.07,0
a16shift.a16,postfix,1,15322999,15.21,0
a16shift.a8,prefix,1,15307649,15.66,0
a16shift.a8,postfix,1,15287727,15.95,0
a16spill.a16,prefix,1,22746703,18.87,0
a16spill.a16,postfix,1,22706042,18.61,0
a16spill.a8,prefix,1,22585461,19.19,0
a16spill.a8,postfix,1,22685511,18.60,0
a16spillr.a16,prefix,1,27052077,23.11,0
a16spillr.a16,postfix,1,27216519,24.62,0
a16spillr.a8,prefix,1,27016925,20.64,0
a16spillr.a8,postfix,1,27273234,20.69,0
a16sub.a16,prefix,1,14128788,17.74,0
a16sub.a16,postfix,1,14216160,15.42,0
a16sub.a8,prefix,1,14138544,15.32,0
a16sub.a8,postfix,1,14220827,14.79,0
a16sunfold.a16,prefix,1,18590559,17.00,0
a16sunfold.a16,postfix,1,18586696,16.07,0
a16sunfold.a8,prefix,1,18551794,17.05,0
a16sunfold.a8,postfix,1,18583588,16.17,0
a16thread.a16,prefix,1,18989374,19.03,0
a16thread.a16,postfix,1,19024202,19.51,0
a16thread.a8,prefix,1,18997518,17.54,0
a16thread.a8,postfix,1,19080439,18.72,0
absdiff-probe.a16,prefix,1,37201328,25.84,0
absdiff-probe.a16,postfix,1,37338080,23.96,0
absdiff-probe.a8,prefix,1,37091494,22.65,0
absdiff-probe.a8,postfix,1,37297507,22.92,0
asmisland-probe.a16,prefix,1,29100863,22.91,0
asmisland-probe.a16,postfix,1,29113115,21.47,0
asmisland-probe.a8,prefix,1,29134993,21.72,0
asmisland-probe.a8,postfix,1,29061496,21.67,0
bitboard64-probe.a16,prefix,1,217111261,84.18,0
bitboard64-probe.a16,postfix,1,217209891,72.18,0
bitboard64-probe.a8,prefix,1,217125675,70.01,0
bitboard64-probe.a8,postfix,1,217132564,72.72,0
crt0native.a16,prefix,1,13593769,15.32,0
crt0native.a16,postfix,1,13636832,15.41,0
crt0native.a8,prefix,1,13581038,14.82,0
crt0native.a8,postfix,1,13646587,14.07,0
far-bank1.a16,prefix,1,10330584,14.74,1
far-bank1.a16,postfix,1,10277392,12.81,1
far-bank1.a8,prefix,1,10279391,13.80,1
far-bank1.a8,postfix,1,10353841,13.12,1
far-deref.a16,prefix,1,11701654,12.73,1
far-deref.a16,postfix,1,11735942,12.10,1
far-deref.a8,prefix,1,11649965,13.37,1
far-deref.a8,postfix,1,11716284,12.59,1
far-run.a16,prefix,1,10258391,12.19,1
far-run.a16,postfix,1,10351003,11.60,1
far-run.a8,prefix,1,10273283,11.92,1
far-run.a8,postfix,1,10292827,13.02,1
far_arith.a16,prefix,1,10449870,12.39,1
far_arith.a16,postfix,1,10430830,12.80,1
far_arith.a8,prefix,1,10458082,12.13,1
far_arith.a8,postfix,1,10431310,13.03,1
far_call.a16,prefix,1,16303463,16.06,0
far_call.a16,postfix,1,16287846,15.21,0
far_call.a8,prefix,1,16329529,16.42,0
far_call.a8,postfix,1,16248207,15.33,0
far_cast.a16,prefix,1,10371956,17.22,1
far_cast.a16,postfix,1,10419497,13.06,1
far_cast.a8,prefix,1,10392156,12.85,1
far_cast.a8,postfix,1,10381082,12.29,1
far_fnptr.a16,prefix,1,11665898,12.99,1
far_fnptr.a16,postfix,1,11666171,13.01,1
far_fnptr.a8,prefix,1,11626213,14.17,1
far_fnptr.a8,postfix,1,11626377,13.76,1
far_indir.a16,prefix,1,10503004,12.60,1
far_indir.a16,postfix,1,10500253,12.24,1
far_indir.a8,prefix,1,10510402,12.80,1
far_indir.a8,postfix,1,10456027,12.47,1
far_indir_tail.a16,prefix,1,11769378,13.67,1
far_indir_tail.a16,postfix,1,11849184,16.51,1
far_indir_tail.a8,prefix,1,11759214,13.91,1
far_indir_tail.a8,postfix,1,11825194,13.68,1
far_loop.a16,prefix,1,13040825,21.90,1
far_loop.a16,postfix,1,12974944,14.37,1
far_loop.a8,prefix,1,13022108,14.05,1
far_loop.a8,postfix,1,12978659,14.22,1
far_memops.a16,prefix,1,12993256,13.69,1
far_memops.a16,postfix,1,12959810,14.09,1
far_memops.a8,prefix,1,12957883,15.21,1
far_memops.a8,postfix,1,12953889,14.20,1
far_memset.a16,prefix,1,11378624,14.34,1
far_memset.a16,postfix,1,11356236,13.39,1
far_memset.a8,prefix,1,11362465,13.92,1
far_memset.a8,postfix,1,11320389,13.07,1
far_near_call.a16,prefix,1,22099089,18.19,0
far_near_call.a16,postfix,1,22029781,17.45,0
far_near_call.a8,prefix,1,22027518,16.97,0
far_near_call.a8,postfix,1,22099532,17.27,0
far_sizeof.a16,prefix,1,10572890,12.88,1
far_sizeof.a16,postfix,1,10541773,12.50,1
far_sizeof.a8,prefix,1,10533390,12.41,1
far_sizeof.a8,postfix,1,10551140,13.68,1
far_store.a16,prefix,1,10512064,12.13,1
