# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
920909-1.c	compile-error	vendor/c-torture/execute/920909-1.c:2:3: error: parameter 'a' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921013-1.c	compile-error	vendor/c-torture/execute/921013-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921017-1.c	compile-error	vendor/c-torture/execute/921017-1.c:5:3: error: parameter 'n' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921110-1.c	compile-error	vendor/c-torture/execute/921110-1.c:8:3: error: call to undeclared function '__torture_exit'; ISO C99 and later do not support implicit function declarations [-Wimplicit-
921123-1.c	compile-error	vendor/c-torture/execute/921123-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921124-1.c	compile-error	vendor/c-torture/execute/921124-1.c:3:3: error: parameter 'x' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921202-1.c	compile-error	vendor/c-torture/execute/921202-1.c:10:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921207-1.c	compile-error	vendor/c-torture/execute/921207-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921208-2.c	compile-error	vendor/c-torture/execute/921208-2.c:5:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921215-1.c	compile-error	vendor/c-torture/execute/921215-1.c:4:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921218-1.c	compile-error	vendor/c-torture/execute/921218-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
921218-2.c	compile-error	vendor/c-torture/execute/921218-2.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930106-1.c	compile-error	vendor/c-torture/execute/930106-1.c:15:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930111-1.c	compile-error	vendor/c-torture/execute/930111-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930208-1.c	compile-error	vendor/c-torture/execute/930208-1.c:8:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930429-2.c	compile-error	vendor/c-torture/execute/930429-2.c:4:4: error: parameter 'b' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930513-1.c	compile-error	vendor/c-torture/execute/930513-1.c:7:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930513-2.c	compile-error	vendor/c-torture/execute/930513-2.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930518-1.c	compile-error	vendor/c-torture/execute/930518-1.c:5:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930527-1.c	compile-error	vendor/c-torture/execute/930527-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930603-1.c	compile-error	vendor/c-torture/execute/930603-1.c:9:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930603-3.c	compile-error	vendor/c-torture/execute/930603-3.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930621-1.c	compile-error	vendor/c-torture/execute/930621-1.c:8:3: error: call to undeclared function '__torture_exit'; ISO C99 and later do not support implicit function declarations [-Wimplicit-
930622-1.c	compile-error	vendor/c-torture/execute/930622-1.c:5:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930630-1.c	compile-error	vendor/c-torture/execute/930630-1.c:8:3: error: call to undeclared function '__torture_exit'; ISO C99 and later do not support implicit function declarations [-Wimplicit-
